beta,epoch,step,train_kl_div,train_loss,train_recon_cont,train_recon_label,val_kl_div,val_loss,val_recon_cont,val_recon_label
0.0,9,79,,,,,7.329307556152344,1.3231942653656006,0.9579417705535889,0.730505108833313
0.0,10,80,6.375925064086914,1.5878957509994507,1.242364764213562,0.6910619735717773,,,,
0.0,10,81,6.586674213409424,1.3740769624710083,1.0273098945617676,0.6935341358184814,,,,
0.0,10,82,6.42141056060791,1.5912494659423828,1.2473987340927124,0.6877014636993408,,,,
0.0,10,83,6.60321569442749,1.5485509634017944,1.1989538669586182,0.6991941928863525,,,,
0.0,10,84,6.148801326751709,1.2933181524276733,0.9591001272201538,0.6684361100196838,,,,
0.0,10,85,6.223448753356934,1.4365389347076416,1.094770073890686,0.6835378408432007,,,,
0.0,10,86,5.993885040283203,1.6977158784866333,1.3606982231140137,0.6740352511405945,,,,
0.0,10,87,5.607422351837158,1.7159314155578613,1.3932387828826904,0.645385205745697,,,,
0.0,10,87,,,,,7.337524890899658,1.3252758979797363,0.9591271877288818,0.7322976589202881
1.2335990504652727e-05,11,88,6.381541728973389,1.4173574447631836,1.0746562480926514,0.6852449178695679,,,,
1.2335990504652727e-05,11,89,6.458792686462402,1.8090574741363525,1.4591808319091797,0.6995939016342163,,,,
1.2335990504652727e-05,11,90,6.550816535949707,1.3584458827972412,1.0109809637069702,0.6947681903839111,,,,
1.2335990504652727e-05,11,91,6.77581787109375,1.5755192041397095,1.2303955554962158,0.6900800466537476,,,,
1.2335990504652727e-05,11,92,6.921688079833984,1.2090959548950195,0.8487410545349121,0.7205390930175781,,,,
1.2335990504652727e-05,11,93,6.521359443664551,1.1690313816070557,0.8253073692321777,0.6872870922088623,,,,
1.2335990504652727e-05,11,94,6.004049301147461,1.5197604894638062,1.1848491430282593,0.6696745157241821,,,,
1.2335990504652727e-05,11,95,6.012939929962158,2.2944371700286865,1.9515577554702759,0.6856104135513306,,,,
1.2335990504652727e-05,11,95,,,,,7.338431358337402,1.3148136138916016,0.95355623960495,0.7223339676856995
4.933178934152238e-05,12,96,6.844815254211426,1.2375258207321167,0.8796019554138184,0.7151721715927124,,,,
4.933178934152238e-05,12,97,6.830009460449219,1.4015350341796875,1.0552171468734741,0.691961944103241,,,,
4.933178934152238e-05,12,98,6.290362358093262,1.5074375867843628,1.1694786548614502,0.675297200679779,,,,
4.933178934152238e-05,12,99,6.6979570388793945,1.4063706398010254,1.0494745969772339,0.7131311893463135,,,,
4.933178934152238e-05,12,100,6.529378414154053,1.4740569591522217,1.126342535018921,0.6947847008705139,,,,
4.933178934152238e-05,12,101,6.348122596740723,1.5188931226730347,1.1748273372650146,0.6875052452087402,,,,
4.933178934152238e-05,12,102,6.589450359344482,1.9219852685928345,1.5761948823928833,0.6909304857254028,,,,
4.933178934152238e-05,12,103,7.043551921844482,1.4841828346252441,1.1262949705123901,0.715080738067627,,,,
4.933179297950119e-05,12,103,,,,,7.340250492095947,1.3215316534042358,0.9608734846115112,0.7205923199653625
0.00011095088848378509,13,104,6.488880157470703,1.600813388824463,1.2602343559265137,0.6797181963920593,,,,
0.00011095088848378509,13,105,6.693215370178223,1.2711554765701294,0.9203183054924011,0.700188934803009,,,,
0.00011095088848378509,13,106,6.362607002258301,1.2284139394760132,0.8924865126609802,0.6704429388046265,,,,
0.00011095088848378509,13,107,6.372729301452637,1.3389769792556763,0.9950626492500305,0.6864147186279297,,,,
0.00011095088848378509,13,108,5.977738857269287,1.3968164920806885,1.0626015663146973,0.6671034097671509,,,,
0.00011095088848378509,13,109,6.645521640777588,1.3399614095687866,0.9978593587875366,0.6827293634414673,,,,
0.00011095088848378509,13,110,6.542522430419922,1.195576786994934,0.8558654189109802,0.6779710054397583,,,,
0.00011095088848378509,13,111,5.948331356048584,1.7066601514816284,1.3725720643997192,0.6668562293052673,,,,
0.00011095088848378509,13,111,,,,,7.337544918060303,1.3275498151779175,0.9598087072372437,0.7338540554046631
0.0001971324672922492,14,112,6.535063743591309,1.4689552783966064,1.1164727210998535,0.7023885250091553,,,,
0.0001971324672922492,14,113,6.185422420501709,1.430619716644287,1.091020107269287,0.6767603754997253,,,,
0.0001971324672922492,14,114,6.343765735626221,1.1082313060760498,0.7645182609558105,0.6849251389503479,,,,
0.0001971324672922492,14,115,6.3352508544921875,1.3420711755752563,0.9971725940704346,0.6872995495796204,,,,
0.0001971324672922492,14,116,6.693625450134277,1.3897981643676758,1.029420256614685,0.7181167602539062,,,,
0.0001971324672922492,14,117,6.150210857391357,1.2852015495300293,0.9388378858566284,0.6903027296066284,,,,
0.0001971324672922492,14,118,6.636624813079834,1.3804548978805542,1.02761709690094,0.7030590772628784,,,,
0.0001971324672922492,14,119,4.9372076988220215,1.8141995668411255,1.5070648193359375,0.612322986125946,,,,
0.0001971324672922492,14,119,,,,,7.329530715942383,1.3190667629241943,0.9586167335510254,0.7180104851722717
0.00030779148801229894,15,120,6.458196640014648,1.343096137046814,0.9830906391143799,0.7160353064537048,,,,
0.00030779148801229894,15,121,6.669761657714844,1.3340591192245483,0.9913691282272339,0.6812741756439209,,,,
0.00030779148801229894,15,122,6.697788238525391,1.4953293800354004,1.1364734172821045,0.7135890126228333,,,,
0.00030779148801229894,15,123,6.556224822998047,1.5302338600158691,1.1730202436447144,0.7103914022445679,,,,
0.00030779148801229894,15,124,6.582435607910156,1.7125244140625,1.3623665571212769,0.6962637901306152,,,,
0.00030779148801229894,15,125,6.245630264282227,1.509307622909546,1.163538932800293,0.6876925230026245,,,,
0.00030779148801229894,15,126,6.3316850662231445,1.6320850849151611,1.284660816192627,0.6909507513046265,,,,
0.00030779148801229894,15,127,5.887810230255127,0.9360736012458801,0.5790169835090637,0.7104887962341309,,,,
0.00030779148801229894,15,127,,,,,7.320817470550537,1.3322124481201172,0.9639178514480591,0.7320826053619385
0.0004428187385201454,16,128,6.595778465270996,1.3867815732955933,1.0341535806655884,0.6994144320487976,,,,
0.0004428187385201454,16,129,6.621622562408447,1.4555248022079468,1.1043100357055664,0.6965650320053101,,,,
0.0004428187385201454,16,130,6.049411773681641,1.4105312824249268,1.067105770111084,0.6814935207366943,,,,
0.0004428187385201454,16,131,6.199223518371582,1.3483495712280273,1.009007215499878,0.6731945276260376,,,,
0.0004428187385201454,16,132,6.7832512855529785,1.6364562511444092,1.2746204137802124,0.7176641821861267,,,,
0.0004428187385201454,16,133,6.440509796142578,1.538395643234253,1.1941285133361816,0.6828303337097168,,,,
0.0004428187385201454,16,134,6.428149223327637,1.557558298110962,1.2108674049377441,0.6876888275146484,,,,
0.0004428187385201454,16,135,6.597170352935791,1.9171208143234253,1.6120052337646484,0.604388415813446,,,,
0.0004428187676239759,16,135,,,,,7.32274866104126,1.3231836557388306,0.9618465900421143,0.7161887884140015
0.0006020809523761272,17,136,6.751236915588379,1.4767603874206543,1.1241427659988403,0.6971057653427124,,,,
0.0006020809523761272,17,137,6.591296195983887,1.6202468872070312,1.2781972885131836,0.6761621236801147,,,,
0.0006020809523761272,17,138,6.386084079742432,1.5324040651321411,1.1858105659484863,0.6854971051216125,,,,
0.0006020809523761272,17,139,5.963337421417236,1.552229881286621,1.2144666910171509,0.6683454513549805,,,,
0.0006020809523761272,17,140,6.541406631469727,1.3944798707962036,1.0482462644577026,0.6845903396606445,,,,
0.0006020809523761272,17,141,6.37578010559082,1.4564464092254639,1.1047254800796509,0.6957641839981079,,,,
0.0006020809523761272,17,142,6.386139869689941,1.5024360418319702,1.1646833419799805,0.6678155064582825,,,,
0.0006020809523761272,17,143,5.9283976554870605,1.4967812299728394,1.1426830291748047,0.7010576128959656,,,,
0.0006020809523761272,17,143,,,,,7.343812465667725,1.317250370979309,0.9569105505943298,0.7118363976478577
0.0007854209979996085,18,144,6.371463775634766,1.2173248529434204,0.8737968802452087,0.6770474910736084,,,,
0.0007854209979996085,18,145,6.326570987701416,1.7217053174972534,1.3858369588851929,0.6617987155914307,,,,
0.0007854209979996085,18,146,7.047660827636719,1.2776117324829102,0.9168028831481934,0.7105468511581421,,,,
0.0007854209979996085,18,147,6.357668876647949,1.1450366973876953,0.7926449179649353,0.6947965621948242,,,,
0.0007854209979996085,18,148,6.720900535583496,1.6433334350585938,1.2997528314590454,0.6766037344932556,,,,
0.0007854209979996085,18,149,6.009556770324707,1.4431934356689453,1.1182479858398438,0.6404507756233215,,,,
0.0007854209979996085,18,150,6.53189754486084,1.4709950685501099,1.1355185508728027,0.6606925129890442,,,,
0.0007854209979996085,18,151,6.251587390899658,2.0722463130950928,1.7373075485229492,0.6600569486618042,,,,
0.0007854209979996085,18,151,,,,,7.388816833496094,1.316211462020874,0.9593033194541931,0.7022096514701843
0.0009926578495651484,19,152,6.3711748123168945,1.202816367149353,0.8651949763298035,0.6625939607620239,,,,
0.0009926578495651484,19,153,6.643550872802734,1.2930034399032593,0.9505121111869812,0.6717930436134338,,,,
0.0009926578495651484,19,154,6.154539108276367,1.4642201662063599,1.1335866451263428,0.6490482091903687,,,,
0.0009926578495651484,19,155,6.750722408294678,1.6114321947097778,1.2663133144378662,0.6768355965614319,,,,
0.0009926578495651484,19,156,6.506563186645508,1.2785724401474,0.932798445224762,0.6786304712295532,,,,
0.0009926578495651484,19,157,7.045896530151367,1.2953221797943115,0.9417587518692017,0.693138599395752,,,,
0.0009926578495651484,19,158,6.480693340301514,1.440071702003479,1.0993341207504272,0.6686088442802429,,,,
0.0009926578495651484,19,159,5.82442045211792,0.8984605073928833,0.5568321347236633,0.6716935038566589,,,,
0.0009926578495651484,19,159,,,,,7.4983229637146,1.3096696138381958,0.9496365189552307,0.7051795721054077
0.0012235870817676187,20,160,7.58680534362793,1.4874217510223389,1.1347923278808594,0.6866927146911621,,,,
