beta,epoch,step,train_kl_div,train_loss,train_recon_cat,train_recon_cont,val_kl_div,val_loss,val_recon_cat,val_recon_cont
0.0,8,130,1395.3388671875,1.2151998281478882,0.38948389887809753,0.8257158994674683,,,,
0.0,8,131,1732.51708984375,1.073211669921875,0.35399794578552246,0.7192137241363525,,,,
0.0,8,132,1842.06396484375,1.2394953966140747,0.2835315763950348,0.9559638500213623,,,,
0.0,8,133,497.39959716796875,0.9441537261009216,0.35704952478408813,0.5871042013168335,,,,
0.0,8,134,192.97958374023438,1.0530143976211548,0.37159040570259094,0.6814240217208862,,,,
0.0,8,134,,,,,550.5471801757812,1.0707392692565918,0.35648313164711,0.714256227016449
0.0,9,135,538.624755859375,0.9812362194061279,0.39408454298973083,0.5871516466140747,,,,
0.0,9,136,1145.556396484375,0.8940213322639465,0.3295598030090332,0.5644615292549133,,,,
0.0,9,137,827.0487060546875,0.8949379920959473,0.29391857981681824,0.6010194420814514,,,,
0.0,9,138,1045.8125,0.9252282977104187,0.2697693109512329,0.6554589867591858,,,,
0.0,9,139,1451.912353515625,0.9199289679527283,0.30039334297180176,0.6195356249809265,,,,
0.0,9,140,2700.255615234375,0.9842135906219482,0.24718865752220154,0.7370249629020691,,,,
0.0,9,141,1299.4278564453125,0.7529599070549011,0.2648956775665283,0.4880642294883728,,,,
0.0,9,142,2019.96875,1.1344077587127686,0.23669084906578064,0.8977169394493103,,,,
0.0,9,143,468.78814697265625,0.8939039707183838,0.35365626215934753,0.5402477383613586,,,,
0.0,9,144,2529.268310546875,0.9843283891677856,0.25325486063957214,0.7310734987258911,,,,
0.0,9,145,1208.1959228515625,0.8685786724090576,0.20904022455215454,0.6595384478569031,,,,
0.0,9,146,1112.534423828125,1.0516636371612549,0.3353414535522461,0.7163222432136536,,,,
0.0,9,147,637.5980224609375,0.9100713729858398,0.3188927173614502,0.5911786556243896,,,,
0.0,9,148,916.15771484375,0.9721311330795288,0.24499256908893585,0.7271385788917542,,,,
0.0,9,149,360.5634765625,1.0600175857543945,0.36382603645324707,0.6961916089057922,,,,
0.0,9,149,,,,,625.2276000976562,0.8864261507987976,0.2336100935935974,0.6528159976005554
0.0,10,150,2504.630615234375,1.259671688079834,0.27609115839004517,0.983580470085144,,,,
0.0,10,151,815.0469360351562,0.7601257562637329,0.2600797414779663,0.5000460147857666,,,,
0.0,10,152,1283.651611328125,0.8872274160385132,0.21589484810829163,0.671332597732544,,,,
0.0,10,153,1004.8682861328125,0.8283509612083435,0.20898981392383575,0.619361162185669,,,,
0.0,10,154,1063.90283203125,0.7853303551673889,0.28146374225616455,0.5038666129112244,,,,
0.0,10,155,1545.60009765625,0.8542959094047546,0.25347357988357544,0.6008223295211792,,,,
0.0,10,156,2037.541259765625,0.9893994331359863,0.11281859129667282,0.8765808343887329,,,,
0.0,10,157,1629.1094970703125,0.8969012498855591,0.17156095802783966,0.7253403067588806,,,,
0.0,10,158,1515.425537109375,0.7210732698440552,0.1615447700023651,0.5595285296440125,,,,
0.0,10,159,1659.066650390625,0.864463210105896,0.14541517198085785,0.719048023223877,,,,
0.0,10,160,814.0810546875,0.7674174308776855,0.1976749151945114,0.5697425007820129,,,,
0.0,10,161,1748.0946044921875,1.4435359239578247,0.12465962767601013,1.3188762664794922,,,,
0.0,10,162,1079.7349853515625,0.8372739553451538,0.2104700803756714,0.6268038749694824,,,,
0.0,10,163,1232.8212890625,0.9034183621406555,0.14920830726623535,0.7542100548744202,,,,
0.0,10,164,152.55624389648438,0.5006116628646851,0.15747082233428955,0.3431408405303955,,,,
0.0,10,164,,,,,827.9892578125,0.7236332893371582,0.12299799174070358,0.600635290145874
0.0,11,165,1691.473388671875,0.9344085454940796,0.1497933268547058,0.7846152186393738,,,,
0.0,11,166,1062.4337158203125,0.8879897594451904,0.12945295870304108,0.7585368156433105,,,,
0.0,11,167,1407.08447265625,0.7149940133094788,0.148698627948761,0.5662953853607178,,,,
0.0,11,168,938.426025390625,0.661647379398346,0.1754157692193985,0.48623162508010864,,,,
0.0,11,169,952.5375366210938,0.6431613564491272,0.1885610818862915,0.4546002745628357,,,,
0.0,11,170,821.8504638671875,0.7782131433486938,0.19875094294548035,0.5794621706008911,,,,
0.0,11,171,864.9234619140625,0.940674901008606,0.2939642369747162,0.6467106342315674,,,,
0.0,11,172,2308.457275390625,0.9753679037094116,0.19994863867759705,0.775419294834137,,,,
0.0,11,173,3496.5732421875,0.8119377493858337,0.1364220827817917,0.6755156517028809,,,,
0.0,11,174,1072.33203125,0.5426344871520996,0.12138471752405167,0.42124974727630615,,,,
0.0,11,175,1101.457763671875,0.7898430228233337,0.13606826961040497,0.6537747383117676,,,,
0.0,11,176,1196.22509765625,0.7289851307868958,0.1542014479637146,0.5747836828231812,,,,
0.0,11,177,1347.6217041015625,0.9024786949157715,0.09533269703388214,0.8071460127830505,,,,
0.0,11,178,3203.50830078125,0.6245435476303101,0.07399557530879974,0.5505479574203491,,,,
0.0,11,179,503.36370849609375,1.030754566192627,0.2007378339767456,0.8300167322158813,,,,
0.0,11,179,,,,,965.3629150390625,0.6900238394737244,0.11055415868759155,0.579469621181488
0.0,12,180,3170.090087890625,0.6029487252235413,0.0653863325715065,0.537562370300293,,,,
0.0,12,181,1164.6337890625,0.5436139106750488,0.09382468461990356,0.44978922605514526,,,,
0.0,12,182,1581.1536865234375,0.8100648522377014,0.09975002706050873,0.7103148102760315,,,,
0.0,12,183,3016.2763671875,0.7596286535263062,0.15241111814975739,0.60721755027771,,,,
0.0,12,184,1255.813232421875,0.6015529632568359,0.13382086157798767,0.4677320718765259,,,,
0.0,12,185,1275.37060546875,0.8526020646095276,0.1788281798362732,0.6737738847732544,,,,
0.0,12,186,1578.3604736328125,1.0608329772949219,0.14698369801044464,0.9138492941856384,,,,
0.0,12,187,2776.81103515625,1.3868461847305298,0.09488054364919662,1.2919656038284302,,,,
0.0,12,188,2033.150634765625,0.7619683742523193,0.13669291138648987,0.6252754926681519,,,,
0.0,12,189,2264.882080078125,0.8376806974411011,0.17525771260261536,0.6624229550361633,,,,
0.0,12,190,1408.322265625,0.8082430958747864,0.12464933097362518,0.68359375,,,,
0.0,12,191,1975.1845703125,0.6055567860603333,0.12014838308095932,0.48540839552879333,,,,
0.0,12,192,892.1461791992188,0.5978591442108154,0.11781659722328186,0.48004257678985596,,,,
0.0,12,193,1297.123291015625,0.5335100889205933,0.0948513001203537,0.43865880370140076,,,,
0.0,12,194,561.0435180664062,0.9058611989021301,0.06358413398265839,0.8422770500183105,,,,
0.0,12,194,,,,,1014.7857666015625,0.643715500831604,0.06698441505432129,0.5767310857772827
